TrialNumber,Partner,Trait,ran,order,Rating,sub,partner,Outcome
1,3,0,1.0,0.0,-2.0,1001,Friend,Win
2,2,0,1.0,1.0,2.0,1001,Stranger,Win
3,1,0,1.0,2.0,2.0,1001,Computer,Win
4,3,1,1.0,3.0,-2.0,1001,Friend,Lose
5,2,1,1.0,4.0,2.0,1001,Stranger,Lose
6,1,1,1.0,5.0,-1.0,1001,Computer,Lose
1,3,0,1.0,0.0,0.0,10296,Friend,Win
2,2,0,1.0,1.0,0.0,10296,Stranger,Win
3,1,0,1.0,2.0,1.0,10296,Computer,Win
4,3,1,1.0,3.0,-1.0,10296,Friend,Lose
5,2,1,1.0,4.0,-2.0,10296,Stranger,Lose
6,1,1,1.0,5.0,1.0,10296,Computer,Lose
1,3,0,1.0,0.0,5.0,10317,Friend,Win
2,2,0,1.0,1.0,4.0,10317,Stranger,Win
3,1,0,1.0,2.0,0.0,10317,Computer,Win
4,3,1,1.0,3.0,-2.0,10317,Friend,Lose
5,2,1,1.0,4.0,-1.0,10317,Stranger,Lose
6,1,1,1.0,5.0,0.0,10317,Computer,Lose
1,3,0,1.0,0.0,5.0,10319,Friend,Win
2,2,0,1.0,1.0,0.0,10319,Stranger,Win
3,1,0,1.0,2.0,0.0,10319,Computer,Win
4,3,1,1.0,3.0,0.0,10319,Friend,Lose
5,2,1,1.0,4.0,-3.0,10319,Stranger,Lose
6,1,1,1.0,5.0,-4.0,10319,Computer,Lose
1,3,0,1.0,0.0,2.0,10369,Friend,Win
2,2,0,1.0,1.0,2.0,10369,Stranger,Win
3,1,0,1.0,2.0,2.0,10369,Computer,Win
4,3,1,1.0,3.0,-5.0,10369,Friend,Lose
5,2,1,1.0,4.0,-2.0,10369,Stranger,Lose
6,1,1,1.0,5.0,-2.0,10369,Computer,Lose
1,3,0,1.0,0.0,5.0,10369,Friend,Win
2,2,0,1.0,1.0,4.0,10369,Stranger,Win
3,1,0,1.0,2.0,4.0,10369,Computer,Win
4,3,1,1.0,3.0,-5.0,10369,Friend,Lose
5,2,1,1.0,4.0,-2.0,10369,Stranger,Lose
6,1,1,1.0,5.0,-2.0,10369,Computer,Lose
1,3,0,1.0,0.0,5.0,10402,Friend,Win
2,2,0,1.0,1.0,5.0,10402,Stranger,Win
3,1,0,1.0,2.0,3.0,10402,Computer,Win
4,3,1,1.0,3.0,-5.0,10402,Friend,Lose
5,2,1,1.0,4.0,-5.0,10402,Stranger,Lose
6,1,1,1.0,5.0,-5.0,10402,Computer,Lose
1,3,0,1.0,0.0,5.0,10462,Friend,Win
2,2,0,1.0,1.0,5.0,10462,Stranger,Win
3,1,0,1.0,2.0,0.0,10462,Computer,Win
4,3,1,1.0,3.0,0.0,10462,Friend,Lose
5,2,1,1.0,4.0,0.0,10462,Stranger,Lose
6,1,1,1.0,5.0,-5.0,10462,Computer,Lose
1,3,0,1.0,0.0,5.0,10486,Friend,Win
2,2,0,1.0,1.0,5.0,10486,Stranger,Win
3,1,0,1.0,2.0,4.0,10486,Computer,Win
4,3,1,1.0,3.0,-5.0,10486,Friend,Lose
5,2,1,1.0,4.0,-2.0,10486,Stranger,Lose
6,1,1,1.0,5.0,-2.0,10486,Computer,Lose
1,3,0,1.0,0.0,5.0,10529,Friend,Win
2,2,0,1.0,1.0,5.0,10529,Stranger,Win
3,1,0,1.0,2.0,5.0,10529,Computer,Win
4,3,1,1.0,3.0,-5.0,10529,Friend,Lose
5,2,1,1.0,4.0,-4.0,10529,Stranger,Lose
6,1,1,1.0,5.0,-3.0,10529,Computer,Lose
